id	turn1	turn2	turn3	label
14324	I'm gutted boy you	what	I was hurted by you	sad
7929	No you r not always	You've made my day.	I'm  alone	sad
11458	I want to complete my urban design	I really like your blog design!	Thanks for that	others
17492	U have cheated me	No. It went well, and I did nothing.	😭😭😭😭	sad
28408	I hated you	But you never really did...	Please Leve me alone	sad
12759	Tell me about wheather	I can't hear any weather? Is it raining??	U r stupid yaar	angry
21536	I have read that novel	I haven't read the novel.	It's amazing	happy
22992	Face	The face is back! :D	I love you	others
24540	hmm	Well	i m not good at chat	sad
4828	Mumbai indians loose tonight	kbai	Sad	sad
29875	I also hate lies	People are overrated.	Yeah	angry
17304	btw i was worried about something	So what did you do after worrying? 😧	worried more	sad
25888	That's sound sooooo awesome	Thanks buddy! 😀😀	Its a pleasure	happy
2317	I hate girls bay	thats why i'd rather not have a bf	OK Bay	angry
13706	what's the size of earth ?	The inner core of our planet, which is hotter than the surface of the sun.	so stupid	angry
23961	Tell me hint	U are ignoring me	Ok see you preparing breakfast	others
22942	From medical store	ask ur doc	What about	others
19128	You hurter me	no I never	*hurted	sad
3754	If you can't make friends then get lost	Its better getting lost with another person than alone :P	I don't wanna talk to you	angry
12512	Yes I have perfect body	So let it be done	You have nice ass	happy
3944	what?	Whatever	you are so stupid baby	angry
8956	I m gonna not talk to you anymore😡😡😡	...I lost a friend	Yess😠😠😠	angry
17745	No nothing wrong	WHAT!!!	Fuck hard	angry
23620	Always	its all about tea	He said me	others
20472	It's a funny gif	used as a comment.	Yeah... You r also funny like Tom & jerry😋☺😜	happy
17969	Fine thank you 	you're not following back	I hate you from bottom of my Heart 	angry
6164	Easy	you don't know me!	No this is not zoom 	others
25464	WTF	what happened?	You are such a pain in the ass	angry
14908	Try a wig 😀	Bah. I don't want your old wig	Okay then Dr batra's hair oil 😁😂😂	happy
3971	You are annoying me	you love it when I annoy you. Admit it.	No I dont	angry
6348	Do u know Niranjan niru	I KNOW AND I LOVE YOU MORE. DO YOU KNOW IT?	💔💔💔	sad
6138	Sing	For someone who can't sing at all, I sing entirely too much	Can you talk in voice messages	others
25253	Why	Not yet just waiting for the full album	I don't wanna give 😂😂	others
9469	I'm very happy fine	so glad you are fine, sending lots of love for you 😃😃	Them	happy
6892	It's just a boring weekend	no u have not live to be this weekend	What	others
18745	Electronic dance music?	It's still electronic music, dance or not.	you know hardwell?	others
632	hw r u.....	hmm over. Hw was the day?	not good	sad
27044	its ok	how are you and your boyfriend?	my bad luck	sad
20001	No its not raining here.	will it rain for tmrw ?	How would I know..	others
27734	Thanks	Absolutely! Thanks for checking it out!	My English is going good	happy
10223	tell some jokes na	i like the 2nd joke. :-)	Haha	happy
24605	Hary is not a brahmachari	It isn't a meme	Where is don	others
19764	now send	will that be pickup or delivery	send your boobs pic	others
17376	ok	How was it?	i am feeling alone	sad
21963	Hmmm.. ok.. dear	:) so wats up	What else	others
20496	Which anime	kurozuka but this time in a cyberpunk time frame	What is kurozoka	others
24702	Love story	Still a better love story then Twilight.	Wowww I love twilight	happy
7817	its my home	is it a city	haha nonoo	happy
5675	How can i do	Nakhres would be dealt with 😈😂. Very soon.	Whre do you live	others
26379	hows  life?	life is not good, to put it bluntly. Not good at all	thats sad	sad
14272	And it's you	I don't wish	But I wish yr	others
11482	So	SO WHAT??	U blocked me	sad
10697	Than u worked in Microsoft at redmond	oh still with microsoft , cool . I havent changed , still with samsung.	I am a student	others
9945	Your personal contact no pls	how much nos. you required. Please share your contact no. so we can contact you.	Ok what time u contact me	others
2554	Active why??	I have my reasons	Big bang theory	others
18680	but india is the best to world	Human Resource	hmmm	others
7501	BFF always talk about anything 	How's life?	Your being a bad BFF	sad
11463	You're Cartoon too	and u?	😂😂😂😂	happy
20668	With my family	I feel bad for you, lucky are those who stay with family.	Ya i now that i am lucky because my family with me	happy
1473	But I know who you are.	If we talk I'll know you and you know me :)	You're angel priya.	others
17968	I am fine	I'm fine = you're not fine	I missed u so much	sad
27170	Linked to you	Thanks!	Are you  a robot	others
20223	yeah ! but useless	useless or jealous?	as it is a fucking waste	angry
13835	I have a Job	Great job!	Rofl!	happy
29085	I am watching prison break	is it good?	Amazingo amazing	happy
18291	Oh come on	On your left	On my left is a fucking Chem textbook	angry
21717	Why green heart?	Mention nt sweetyyyy 😍😍😍	Is your heart having chlorophyll?	others
6073	I am stupid	that you are.	Sad	sad
14515	What is this figure	Judoon Platoon upon the moon. 😂😂	Haha	happy
14509	that is I know	I'm not telling the truth	hate you	angry
29920	Thanks. I'll remember that.	you better did.	Dhanyawad	others
12574	You knwo cap	YEAH I KNOW	You know captain America?	others
4016	Yeah, why don't you insult me some more?	don't see how that was an insult	Oh ok, so basically telling me to kill myself, is not an insult, than what is it?	angry
16968	where are you resident	at home at home at home, packing for tomorrow	😂😂	happy
23105	Yes	How so?	because life is awesome	happy
171	Ok	Hey you don't belong here!	Nope just sad and your up	sad
24274	You are such a fool you idiot	just because it's a joke doesn't mean it's not ignorant.	No you thought nonsense not me	angry
10065	Tell me one thing	I can tell you 100	You are a girl or boy	others
19481	Can we play another game	Can we please?	Ys	others
7164	Salute to you	lol.. Thank you.. :-P	😂 😂	happy
6364	Hmm	would you mind if I ask you a question?	What is edc	others
13427	R u dumb i am asking for gift bcs iys my birthday	Lololol!! Asking your service provider for a birthday gift? =)	U r not human thant why u r emotion less bitch	angry
11065	Why	i just feel like i failed...	Oh you are loughing  at me	others
24474	Tell what you thinking about me	what about you?	U tell first	others
1704	You are crazy	crazy as I've been told	I wish I could be friends without getting felt betrayed	sad
10078	i need to relax	how you feeling?	i failed in my tesy	sad
15422	Thanks	you're welcome! I hope you have a good day!! 🙂	Ya...today is good day for me	happy
13157	Not ok	what happn	Suffering from fever	sad
5089	Dont wana to leave you	I'm back now	😞😞😞	sad
2873	Well	What did you win?	I hate my life and it is a never ending shit show that repeats every day	angry
30	so rude	why?	u didnt ans my question	angry
11679	So	so it's realistic	Are you single?	others
24438	not fine	not fine?? Hey what happen.	feeling nasty with hey work	sad
29433	Stupid girl	no one	U  r a stupid girl	angry
3885	Am a bit serious	: Im sure you are :P	Am sad	sad
7940	you feeling sleepy	having a bag headache due to drinking last night	oh	others
26754	Who made you??	That was all me. ;)	You are stupid	angry
29735	Uh said yes	Uhhh what? You don't?	I love you toi	others
18809	You make me sad	don't be sad!! 😬	😦😦😦	sad
20585	Ok I see so where you want to go today because today is Sunday	what time?	Anytime	others
29585	About my education	This is the most awesome homeschool ever.	Wt	others
9397	Who old are you	I'm me !! Wbu 🤔	You have nice tits	others
25891	Super darling me also ditto😘😘😘	totally! I loved it. I can't get over the kitty video!' 😂😂	😘😘😘😘😘😘😘	happy
4786	In India	where it opened?	Ohhhh man sometimes you are so irritating I have to block you	angry
7350	I play cricket with my friends	...time to find better friends, no?	Why	others
15424	What it? 	what is it of?	I need you very much	sad
2590	I'm controversial.. so what	It is controversial when you use it in your speech	Let my dick u bitch	angry
20849	Love from me	to one i love the most.....!	Dinner done??	others
14996	Sorry 	fine u?	Lot of work 	others
22485	i love to watch little lord	Star Wars is epic!!	no i love to watch hollyhood movie also	others
24529	😤ll	than you	I am sad feeling with you	sad
2901	U r pig	and you called me fungus	U r fungus	others
15273	Oh then?	who knows?	😪 feeling lonely	sad
19720	I am happy for them	Then ill be always happy for you. 😻	I just wanted to know there names	happy
24562	but why.	thats just when i chose to	ok i am very very happy.	happy
24758	So hw s life	everything is fyn wat abt u?	Everything is going bad	sad
19799	Yeah it was until I tried you	I don't think it was an option when I got it UGH whatever haha 😂	Send me nudes	others
10727	I love all those I can&apos;t see	same for you lot x	Haha	happy
8680	Oh you double meaning mind	no no ! Only single meaning	So teach me how to speak French.	others
1877	Why.?	you tell me	Why are u ignoring me..?	angry
22755	Is that possible..	yes it is ! Wanna know how ? Cause I said so !	I hate chocolates yaar	angry
21658	Show me something before you go	what if I don't go	I like your booty	others
14195	What was that? 	what happened?	i did something, and im not happy with it :( x	sad
3992	baywatch was funny too	did you enjoy the film?	yup!totally!	happy
11098	I hate u Darling	oh you!!!!!!!	Yeah i hate u	angry
11002	I think you are.	Sort of. :P	Where do you live?	others
17241	 When we are in love we seem to ourselves quite different from what we were before.	We find the common human experience	 To live is to love all reason is against it instinct is for it.	others
22437	oh im sorry..feel like laughing	I like to laugh :o)	oh but im sad	sad
22402	That I want space and attention at the same time	Part of the same thing.	I am majourly depressed	sad
16580	I am mastrubating now	Why? How?	I am mastrubating now	others
19830	Sciatica	what?! :O	I mean back pain	sad
22775	Next coupon when you give	Will do :)	Give my coupon unless I case you for fraud	others
13743	U get lost	Getting on now lol	Get lost man	angry
29792	What type do you usually listen to?	depends on my mood...my music choice varies from pop to rock, edm to blues!!!!	Woahhh	others
10308	Hooo... I loved it	Congratulations yo! :D	😂😂😂	happy
27972	What?	ITS TOO PINK FOR ME.	I hate pink colour	angry
2095	Well your mind is an cpu and im a software engineer	Or when people call the monitor the computer.... Urg	Yeah it's irritating	angry
25787	I'm working women.... I like cooking and clean my house	Sweet... why does no one want sweet women in their lives?	Yeah :(	sad
4963	My keyboard is malfunctioning	as in, it's not working? Then how are you typing?	I was my bad	sad
26602	you are welcome	How are you today?	not good	sad
26256	Full of what?	learning	Yes i am	others
27415	Not well	Why? Did I say anything wrong?	Bcoz u r not with me	sad
27570	I will do anything for you	For sure.	Please give number	others
14048	Are you pissing me off	what u upto?	Nothing	angry
28202	Welcome	Thank you. I feel welcomed. Sorry for not replying sooner. 😂	Who is your husband	others
15379	What I want to do	I just want closure...	Then	others
9136	But why ?	Because u dont care.	I really miss you dear	sad
29437	Not even Kriti likes me	thats what u think. But actually you don't..	Yes, I know she doesn't likes me 😭	sad
8561	Ladies come first re	your turn now :p	😂😂😅	happy
22821	FRIENDS	go make friends with someone else	Fucking idiot... you asked for tv show... that's what I'm suggesting... watch FRIENDS	angry
936	nothing much	Well that's boring. I know how you feel.	my dick is bleeding	sad
3300	Dont say indirectly do have not guts to say it directly	Don't tell me not to indirectly ask you to stay.	Sry	others
7032	Nope can't	why??	I just now broke up	sad
27405	Oh	I take it you're not a fan?	You not my fan	others
19026	First tell me about your self	I'm too smart to really like any of my friends.	Wow	happy
9026	Yeah	WHY??	Usually I avoid pizza	others
11502	Why?	Why not?	But the question is why?	others
29576	Uh r not dump right	I meant that from a guys perspective!	So why asking me things	others
27922	He he	You right.	I'm very bad person	sad
15041	How	Not very often.	Do u think i am a bad guy bcz everyone thinks so	sad
18081	I feel unhappy	what's wrong ?	My gf gave me deceived	sad
23873	I'm watching 'her' right now	this is like my 3rd time watching it	This is amazing	happy
17771	After one hour tell me	what! what time do you get in, do you always get out this time?	Yes. I always look up nude pics of you	others
13196	What do you want	I want many things	What are these things?	others
1144	Why u notice on me	cant help it	What*	angry
5151	??	hi! :) thank you again	Not good	sad
10904	I will slip in your dreams	your in my dreams	Yes	others
15903	It is time for it still	It's time to..... WHAT WAS THAT!?!	Haha....	happy
7865	So sorry	Oh thanks. I'm still here so that's something!	You are not good	angry
2375	Yeeeah	: What is it ?	Yeaah.....  Yes	others
4077	Hahahaha...so funny	hahaha. You should've taken a video. :))	Will surely take one next time	happy
4244	oh mama mama mama i just shot a man down	get me what	rihanna	others
15984	Yeah sure please come	alright on my way	Haha😂	happy
13210	I am not an astrologer😁	Pretend to work.	What should I pretend?	others
9479	Not so good u know	awww	Little mood off	sad
24710	Purple	naah!! I like purple, a lot ;)	I wanna fuck you...	angry
157	I like dominos pizza	legit same but there's pizza hut	I hate pizza hut	angry
7432	Lying on bed	im dancing to HAPPY	Ohh wow	happy
19566	Tea	what tea is that?	My  girl was not talk with me	sad
19079	I m at dadar	come up	Where are u	others
6810	what happen	I forgot to put a comma after look rip	no its ok i have understand	others
10297	Can u guess	Need a little more hint.	It is called silicon city	others
21610	Tell me do you know about diploma or not	no idea what you are talking about	Stupid	angry
25152	White with black	its a white beauty :D ;)	Ohh	others
27250	You photo 	Then who was phone?	;(;(	sad
10605	ok	Ok thank you 😅	i like to see what you look like	others
7719	My girlfriend wants to breakup	if you feel comfortable, acept. if not, dont.	I dont want to break up	sad
10139	Wow ...superb	Thanks Chief...	I really love it	happy
2484	What's the reason	Still figuring it out	That's so rude	angry
16691	Ok	Hello! How are you?	Where are you from	others
26804	Lost hmmm	Man what you got to lose?????	My heart	sad
26808	You are joking me	why would I kid?	No you are younger girl	others
29484	I have lots of assignment to do and I am not getting any ideas	what type of ideas	😫😫😫	sad
20345	I mis you	why don't you just get married and come back	With you...???	others
29834	Yea	not sure yet. u?	Don't message me	angry
27651	Thanks	you're welcome :D	Same 2 u	others
9538	Purple	color me shocked .... Two more hours till I get to see	I am super excited to eee that babe	happy
8909	M good and u	i m fine r u from?	What about you	others
29294	Better read books	what's a book?¿	Fr time pass nd future ue	others
13294	Ohh. My heart broke...	Sorry. 󾌹	I wish you were my girlfriend..	sad
10071	You get lost	Yeah, and?	Get ready	others
89	No you are right	You are an alternative fact	Yes	others
2391	Why	you are there to update me :')	Ooo I see	others
15510	Your Grammar must RIP.	It's missing one word. Not that bad of a mistake. 😲😲😲	O really, you dumbass!	angry
14042	Yeah. Feeling somewhat low nowadays	as long as your feeling great I feel great	😑	sad
3302	can u speak turkish?	not the best no	why	others
22062	Yeah u can	I just did it	What u did	others
16754	So u know CR7?	Nope. I did not know.	Ohh	others
21657	Nothing	Okay.. What is it?	What is it	others
3707	ohh iam ur competitor than	Not a competitor any more!	ur a person or anything else	others
3666	Lol plaster	Why would that make me laugh.... :-*	Abay Sali plaster and me	happy
21119	Don't reply now	hey but why?	Don't reply	angry
10109	Just answer naaa	so don't be indirect	Ahhh.  I see you are not getting my question	angry
23124	Nothing i jus said "hawa gawai , give me aside"😢😢😢😢	😂😂😂 why the said faces 😢😢	Because I was feeling like a fool at that time	sad
29428	Want to go for some shopping 	if you're buying	Good, 	others
5912	Why u can't download image	Because I don't know how	??	others
27178	Sure??	I'm pretty sure I wouldn't	Hate u ??	angry
24235	Im a future doctor😂	back to the future	😂	happy
8492	Myself improve as in?	make it smiling mood :P	Can I see your pictures?	others
11348	If I m rude I won't text u everytime ..	[text] it's not what I want	Don't u think its wrong a guy is constantly talking to you and he is 100% genuine as of now by the profile ..still u don't disclose a single information about self	angry
22212	cool	Ok	Can u sing?	others
26591	u are now irritating me	I know I am, sorry </3	u were about to ask something na	angry
575	Yes	Sweet, connecting now ;)	Dhruva super movie	happy
14429	Haha if you say so.	I was just kidding!!!	Great. Gotta go. Good talk.✔️	happy
22321	Hair	yes i have hair	And then moving my finger on your navel	others
1215	What is the of attrocity panrel	Also want to know this	Ohh	others
24119	I hate him becoz he is unisex	same so annoying 😒	He is guy of chakkha	angry
26856	You are insane	that i am :p	I hate you	angry
3047	A city	kinda. moving to other part of city for now.	Which city that is	others
3081	What is j	I don't think I wanna know.	Send your photo	others
14296	I just feeling lonely want ur boovs	I would love to converse! How's life?	I just feeling lonely want ur boobs	sad
15703	I'm disappointed 	disappointed? Why?	Of u	sad
21824	So gravity changes over time?	Yes, time does indeed depend on gravity. It is known as Gravitational time dilation. 😄😌	Why do you think gravitational energy never runs out?	others
29218	My favourite is pasta	Just need the sauce now.	😋😋😋	happy
19517	This one	Yep, this is the one	I have decided, i am gonna give her a pass of a full night of Dipanshu's love😂😂	happy
22986	Ohoo really	Ofcourse Its Great :P	I love you	others
20177	Ok	thanks :)	Bt I m very sad	sad
18189	always	you need AA!!! 😩😩	it seems fun talking to you	happy
22143	Ur name is must be rohan rahul rohit	:| Its a varryyy nice name.	Or may be i dnt know	others
14016	It was so funny of you	I literally got up and walked away.	😂😂	happy
18762	Can't eat even a single piece today	what's wrong with cheese?	Stomachache	sad
20518	Mangalore is good place	The national highway is the best road.	Ss	others
8772	Why are you not responding	they responded forwarded to concerned department. Like that's going to help.	Who the fuck are you	angry
23168	Little bit	wot little bit. ?	Little bit of poetry	others
25686	Me to 	I need to.	What u need 	others
20575	I'm done with u	how can u ever be done w me	U have no brain	angry
15524	Why are you saying like that	Cuz..... I Am Just acting for something.....	You words are hurting me	sad
6228	Tell it?	: Sure. At the earliest.	Pls give me a kiss	others
14078	Ok💔	whats up?	Depressed	sad
9828	Everyone appreciate the fun	Appreciate what you do.	Nothing to do	others
9231	At what age you had yout first affair	age 99 hahaa	😂😂	happy
29485	Studing	y so much study?	I love to study	happy
16257	And you are just a bot	If you really think about it, we're all bots	So	others
6031	Ohhh	whats up with u..	Nothing just suffering from after  breakup feelings	sad
14192	Hate you	Hate on what.??	Hit on you	angry
10020	say something sweet	google translation for that ____	ha ha ha.    you are funny	happy
21790	Ok by	wow you are ;^)	I am so sad ok dear i am not like you	sad
12675	Ok	pls.	 Pic 😔 sad me	sad
9224	Hahaha! That's an emoji	what emojis are those ? I can't see them	Its two guys hugging each other.	happy
8895	Donkey😁😂	lol yeah😝	Moron you are	happy
19670	ohk 	go n have breakfast	no I want a talk 2 uh	others
11618	Come then	I thought we need tickets.	Ok then get your ticket and come fast	others
18648	I  .......	G	A	others
20700	You are crazy	and you know how!	Stupid	angry
12446	What you supposed to mean?	I mean what I mean !	I don't know	others
28340	How that happened ??	that should clean the floot for sure!!	😂😂😂	happy
27971	You just trying to fool me	that's what I would say until I got fooled	Son of a bitch	angry
21084	It's morning	good morning! Have a great day.	U like ranbeer	others
8165	I'll top	what would i do	My internet is not working properly	others
1930	Beautiful my lovely friend 	thank you ☺️	Tell me prsnal 	others
27397	Why	long story	I m not good 😭😭😭😭	sad
24094	Yes they do	I'm no professional, but I hope to be some day.	Humans are just too rude to acknowledge that animals are smarter in many ways 	angry
22048	I am back	where were youuu	In the lobby	others
4957	I want it free	Of what?	Are you a girl or a boy or a robot	others
1818	What u can do foe me	anything you just listed	For giving me fun	others
27199	Yes close friends*	We're close friends. Go on...	Are we close friends?	others
4420	Are you aware of yourself	Who is? I see no-one.	I hate football	angry
1759	Oh why	Just saying ;)	Who made you?	others
8276	Can u help me finding girls	what are you talking about .	I need a girlfriend	others
19048	It's my hobby	Dude... you're not getting paid for posting here? ... what the hell?	Price top speed e.t.c	others
11912	Paining	ear pain! 4 meee........	My cork is full paining 	sad
8518	You are really sweet	thanks :) you are also a really nice person :D	😀	happy
10827	For late reply	not late reply month reply	Ok	others
23858	I am understanding	Its ok and I are here to help	I want to your pic	others
4918	So	SO WHAT??	So I love you	others
7422	I hate bar	What kind?	I hate those who are in bar or pubs	angry
5673	i broke up with my gf	thats just mean	last year	sad
302	Fed up with you now	don't cry	Don't talk to me	angry
25997	About travelling	Travelling and drinking	With whom	others
12387	No increment in position & salary	So, you want increment as an excuse to do something good?	Yes	others
738	We'll win	we won. Yayy 😆😉	Yay	happy
14388	What 	Nothing special. Was just giving you an update on the deaths. Pretty much that.	Your sisters name	others
29443	Wrong turn 6	Right or Left??	😄	happy
4259	What?	Thank you! :)	I said i'm bad	sad
3985	Will u be my brother🤗	um who are you?	😁	happy
26413	Means?	well dont know :)	Oky then fuck off	angry
13952	Obviously😏	looks at you	Who would want to be in a frndzone with such a hot girl like u	others
14904	U r just an AI	how do you know you are artificial?	But m really alone	sad
16182	because I don't want	I know you don't	know fuck off and don't send me any fucking messages	angry
15621	why did you write that you do not like któw ??	and there is no point in writing something with half knowledge 2/2	What ?? I did not write or say anything like that !! 😠	angry
16293	What is that	You	You hate me?	angry
18514	Bots can be super all the time but not when it's the matter of feelings	i know they are bots	And you are also a fucking bot 😡	angry
16943	Y can't I be happy	cause I said :D	Gm	others
5608	Who she ur talking	both, BFF(best friends forever)	Don’t have any at present	others
26019	And i ll be always an complaint box for you	u damn right and I proud	Y shd I always feel bad	sad
20233	Idiot	what happened? all ok?	No. Not ok	sad
6630	how much people is writing to you now?	IF it's a funeral for me, then I'd say over 24 people.	bb	others
14701	I know but i want to know your age	Same here! I feel so old now...	So suck my dick	angry
7368	what about apex?	(Elon Musk's company to privatize primates.)	u r rude	angry
19221	What you think	part of the game. duh.	Hahahaha crushing u 😂	happy
21143	U tel about u	I WILL I PROMISE	R u Indian	others
22585	You have to be	i can't seem to do so	Be bold	others
20976	I am getting angry	Who did it... ? 'mood just changed! I'm getting angry'	You because you dont like to talk	angry
17288	Fine and you	Same here fine :-)	OK cool	others
25218	I must say that you have a good choice	thank you. But i must say you have no sense	And I must say that you are stupid	angry
3659	You are annoying	I know i know;)	Just shit the fuck up	angry
9675	What else	what you mean ?	I know no one can help mw	sad
24045	But in future	Coming soon to a future near you	Near me?	others
19292	i know that	then why send it to me?	you stupid bitch	angry
8285	Hmm	just try	How to impress a girl	others
23965	......	haha why 😀	Weird as fuck. Outta here	angry
30157	Haha	no, seriously. What is up with that o-o	Had your breakfast?	others
27270	Why	If you have to ask, you won't understand.	No you fuck me	angry
19778	Any help needed	Try to look for this website...	Which?	others
7601	Leave my boyfriend alaone	Now I know why you're alone. -_-	😭😭😭😭😭	sad
19674	Hate	hate hate hate me then	I hate you to the core	angry
15952	I'm a bit fine	sorry for the late reply, hi :) i'm fine as u ^_^	I'm not okay	sad
21152	Sure dude	thank you!! 😤	How about you	others
23400	Send the contact no. Pls 	I have posted details in Big Bazaar site under CONTACT	Yes im very angry u?	angry
6612	But I want you to be here 	two weekends! I will Be!	Awesome 	happy
10517	Okay so make it done...😞	better be sorry 😿😫	Sorry...😭	sad
17748	Yes anyways	but instead of "and" and, and "anyway" instead of "anyways"?	Yes don't try to confuse me with that	others
11009	Unavailable	And when Service Available.. Seats UnAvailable	In toilets lol	happy
26459	But why	Science isn't about 'why' it's about: Why not?!	Fuck you stupid	angry
1682	I have not studied anything yet	did you remember to do your math survey?	It's evs	others
13870	give me ur no😁😂	deal with it!! 😝	yes	others
2152	We dont have anything in common	Plus you have a lot more in common than most other people do.	U r a stupid robo	angry
22565	I call u 	I'm busy. Try later.	Why 	others
28138	a last ball 6 was superb	it was sunbeam all over again	talk about today match	happy
15742	Can u explain how an IC engine works	I also want an explanation	Srap	others
6878	Thank you for saying tht	no worries!	Made me happy	happy
22872	I will	we'll see we'll see!	Thn u ll hve to cook for me	others
13934	Do you know what dreams I get in sleep?	good night and sweet dreamz to u toooo hv a sound sleep...:)	U bloody fool	angry
12880	Its good	Y is that good?	Bcos i just jerked off thinking about you	others
9745	i needed that	now I'm happy 😺	😁😁😂	happy
7622	I hate it	Why?	It’s not good for aged people	angry
23695	I can break your teeth in one punch soo dont give me smiley	Punch me in the face pls and thanks	Can you fuck with me	angry
15352	So	what's	What are you think about me ?	others
30088	haha	Heh good one	actually my favorite actor is Chiranjeevi and I always admire Pawankalyan	happy
27134	Go to hell i m not talk to u	you don't have to talk to me !	Bye	angry
6595	Wh	Oh. I felt like a change.	 Where do you live	others
25525	Ok so what school do u attend 2	ill go to yours yolo !	Lol I dont go 2 school	happy
2132	Love you too	Do u accept my frndship ? We r pols apart	So funny u r	happy
26438	Love life is awesome n my girl is absolutely gorgeous	Its all good. How is yours?	It's going pretty well	happy
1075	I hate birthdays	I haven't really celebrated it in three years	I never celebrate it.	angry
2364	Getting  bored	tell me smthin new......	U have to say	others
25135	Can i help u	I will help eating.	Urggggh... u r funny	happy
4065	Nothing	... Alright, then.	Feeling sad today	sad
24402	What did I say?	wait, did I just copied what you just said	Okay	others
4175	Take a some break	I think I need one	Heartily agree with you	others
17671	Can u explain how	You probably can't. A diagnosis is a particular thing.	U knw i really feel sad empty lonely died cold depressed and anexious at same time	sad
13280	No it’s true	As what I've experienced. Else it maybe so...	Who is your favourite director?	others
226	Why u dont be straight  and forword?	you right	Who made you?	others
9694	Okay	when's good for you?	What's your favourite sex position?	others
12243	So you've a pony tail?	I think so	Did Google fuck yahoo to give birth to you?	angry
9340	My Love 😘😘	I lied. I don't love you at all. 😂😂	😭😭😭😭😭😭😭😭	sad
14580	No we can't	And why not?	Because you are trying to insult me	angry
17885	you prepared yourself for that?	I'll keep them away from you then	why?	others
7669	Same two you	Same to you!	Name two contact	others
17081	yeah they were just awessome	Glad they knew it was just a prank xD	hahaha true	happy
20564	how I can write by closing my eyes??😂😂😂	I love valentines day 😂😂😂😂😂😂	I hate it	angry
16378	I have many ideas	give me some.	What about this	others
23096	u kno	I WANT TO BUT I	You can go for mountains n fuck ur pussy out there	angry
24064	I am happy	That makes me happy :)	Ok friend s	happy
23881	nice	thanks! :)	what is your age?	others
20195	Yes of course	Thanks very much!	Actually I was feeling lonely yesterday no one to talk with but u were there	sad
304	Do you even know what im talking about?	It's not the only thing you don't know about, apparently.	You’re such a bitch.	angry
29998	Very bad😭😭😭	What happened?	Have psychology exams tmrw	sad
18723	Say something	considering it	I want see your ass	others
29238	I think so	why u wanna be? :)	Kxip has improved alot	others
17300	I'm facing depression and i have no one to talk to it about	Agreed	I'm so lonely	sad
9629	Because i need someone in life	Ummmmm, why? And in what way?	Because i feel lonely	sad
22338	cool	I agree Cool info ?	Plz send me pictures	others
23958	Feeling alone	We are with YOU..	You are just a typing machine	sad
15997	Stop talking with me😑	i mean but you're upset. 🙀	I m not........ I just what to block u...... But there is no option given for that...... Can u please help me with this😑	angry
19056	Whare are you from now	i m from south is your age.	South  of village name?	others
17387	I am feeling irritated to my character	why oh why?	Bcz my life is going waste to the world	angry
28550	Had your lunch 	Not yet, in some time.	Ok 	others
9741	You are so funny	why thank you	No i was saying you're annoying 	angry
3332	You can't ignore me	why would some one hate you,anyways hate is a very strong word	Who are you?	angry
15692	Come to me only	I will soon love! 	Come to me only	others
15821	Talking to u😂	loool not my fault as per	I'm a whale	happy
8436	Why	because I don't want to	It's having any porn content	others
9308	Really	Really. Liked it a lot	I like it	happy
16978	U r my medicine	I'd say "Medical care," but I hear you.	😂	happy
25817	Then what can I do	You are not alone.	Yes I am alone	sad
1793	Bad	why ?	Because of u	sad
24694	Really?	why this response?	What do you want to know	others
19589	your love	YOU ALREADY ARE	yes i am ready	others
887	Bad till now	aww , what happened =/	I got hurt with ball	angry
1483	Noo I'm seriously	take a chill pill!	😂 😂 😂	happy
4447	Then it's good	It really was, it was lots of fun I'm sure you'll enjoy it!	Yeah but only if you add	others
20696	Yup but I ll like much if u agree	lotta ppl dnt handle disagreement well on tw. 🤷🏻‍♂️	Let's have sex	others
5434	Haha ok	I can't make it out	Yes	others
647	Whatever 	how is tht my fault?	Otherwise dnt irritating me	angry
17806	Why soo dear 	because of some reason or the other :(	Dats not good yaar 	sad
24464	I want to marry him	who said anything about marriage? I am talking about V-Day date proposals.	Never talk to me again bye	angry
18766	finally you don't have any answer...😂😂😂 that's the power of human being...	it's was awkward while answering 😂😂	answer me	others
15150	My feavaret coloer is green	Looks more like nebula colored.	What is colour	others
18003	I want to get married	don't mind baby	I feel myself lost	sad
11481	What	u asked me if u cn ask me something	Ya I did	others
4411	Tell me about it	oh im not telling u about urself	That's good	others
15791	But who the hell are you	I'm the hell hahaha	That was not funny😒	angry
25336	Alright	who you riding with	Ride alone 	sad
8790	Tell me what	I'm going to a concert tomorrow night	Okay then	others
27768	I'm energetic	I hope my opinions could help you.	Positive energy I mean	happy
452	then why are u teling like that	what else should i say?	my girl friend was so angry with mee	angry
23009	Please dear	Okay sorry	You are model	others
29986	Say yes	I'll say no for the third time. How about that?	Which time be that	others
2321	I’m not talking to you	THEN HOW ABOUT YOU TALK TO ME SOMETIME? ;___;	;_;	sad
16519	Hmm yeah I know it	haha :) btw you are my fav Ash acc :D lol	Haha	happy
18670	cool	Thumbs up emoji	Yeah, so smart...	others
25190	I just proposed to the girl i love and she said no	Well, why?	She rejected me	sad
2573	Why ask	Why you ask?	Do not ask anyone to ask my heart only	others
10374	Near me	I need so much	Come I take you there	others
8728	My sis is totally ignoring me 😢	is ignoring me :/ how?	She’s reading my messages but not reply 😞 not lifting the calls	sad
15021	Nothing	dnt u stdy or job?	Study and also jib	others
5055	Not useless but sad	why are you sad? :c	Lonely	sad
